Country,Date,Log_DMSP,Log_GDP,Log_ELEC,Log_Population,Log_CO2,Log_N2O,Log_CH4,Log_F-gases,Poverty,REGION,SUBREGION
SVK,2013,7.56,4.58,3.24,15.50,17.33,,,,12.60,150,151
SVN,2013,6.80,3.87,2.56,14.54,16.49,,,,14.50,150,39
SWE,2013,9.47,6.36,4.86,16.08,17.61,,,,,150,154
SWZ,2013,4.98,1.33,0.29,14.04,13.90,,,,,2,18
SYC,2013,3.43,0.37,-1.19,11.41,13.38,,,,39.30,2,14
SYR,2013,7.35,,2.97,16.78,17.40,,,,,142,145
TCA,2013,3.29,,-1.62,10.41,12.20,,,,,19,29
TCD,2013,5.46,2.60,-1.78,16.39,13.32,,,,,2,17
TGO,2013,5.30,1.47,0.00,15.75,14.62,,,,,2,11
THA,2013,9.79,5.96,5.09,18.03,19.53,,,,10.90,142,35
TJK,2013,5.99,2.14,2.60,15.91,15.09,,,,34.30,142,143
TKL,2013,,,,,,,,,,9,61
TKM,2013,8.11,3.73,2.53,15.47,18.02,,,,,142,143
TLS,2013,3.04,,,13.98,12.99,,,,,142,35
TON,2013,,-0.76,-3.09,11.56,12.25,,,,,9,61
TTO,2013,7.46,3.20,2.16,14.11,17.66,,,,,19,29
TUN,2013,8.19,3.85,2.66,16.20,17.14,,,,,2,15
TUR,2013,10.02,6.71,5.29,18.15,19.59,,,,2.10,142,145
TUV,2013,,-3.26,,9.20,,,,,,9,61
TWN,2013,9.26,,5.43,,,,,,,0,0
TZA,2013,6.31,3.50,1.52,17.73,16.19,,,,,2,14
UGA,2013,5.58,3.07,0.99,17.41,15.40,,,,,2,14
UKR,2013,8.95,5.18,5.02,17.63,19.42,,,,8.30,150,151
UMI,2013,,,,,,,,,,0,0
URY,2013,7.60,4.02,2.30,15.04,15.84,,,,11.50,19,5
USA,2013,13.00,9.73,8.26,19.57,22.37,,,,,19,21
UZB,2013,8.17,4.04,3.85,17.22,18.45,,,,14.10,142,143
VAT,2013,-0.99,,,,,,,,,150,39
VCT,2013,2.77,-0.34,,11.60,12.25,,,,,19,29
VEN,2013,9.80,6.08,4.55,17.23,19.04,,,,29.40,19,5
VGB,2013,3.31,,-2.16,10.28,12.08,,,,,19,29
VIR,2013,5.18,,-0.39,11.56,,,,,,19,29
VNM,2013,9.09,5.14,4.71,18.31,18.84,,,,,142,35
VUT,2013,3.73,-0.19,-2.97,12.44,11.57,,,,,9,54
WLF,2013,,,,,,,,,,9,61
WSM,2013,,-0.22,-2.23,12.16,12.38,,,,,9,61
YEM,2013,7.74,3.58,1.76,17.06,17.05,,,,,142,145
ZAF,2013,9.73,5.86,5.35,17.79,19.97,,,,,2,18
ZMB,2013,6.96,3.29,2.40,16.54,15.16,,,,,2,14
ZWE,2013,6.48,2.60,2.09,16.52,16.44,,,,,2,14
ABW,2012,4.80,,-0.08,11.54,14.08,,,,,19,29
AFG,2012,6.84,3.02,1.36,17.21,16.83,,,5.86,,142,34
AGO,2012,7.64,4.75,1.58,16.94,17.32,,,6.30,,2,17
AIA,2012,3.27,,,,,,,,,19,29
ALA,2012,3.98,,,,,,,,,150,154
ALB,2012,6.26,2.51,1.40,14.88,15.37,,,5.03,14.3,150,39
AND,2012,5.01,,,11.28,13.10,,,,,150,39
ANT,2012,5.22,,0.10,,,,,,,19,29
ARE,2012,9.46,5.92,4.54,16.01,18.97,,,7.26,,142,145
ARG,2012,10.14,6.40,4.76,17.56,19.07,,,10.55,,19,5
ARM,2012,6.43,2.30,1.62,14.91,15.56,,,6.56,32.4,142,145
ASM,2012,3.08,,-1.92,10.92,,,,,,9,61
ATA,2012,,,-5.59,,,,,,,0,0
ATF,2012,,,,,,,,,,0,0
ATG,2012,4.51,0.19,-1.23,11.40,13.17,,,2.28,,19,29
AUS,2012,9.68,7.34,5.41,16.94,19.74,,,12.07,,9,53
AUT,2012,8.65,6.01,4.16,15.95,17.95,,,8.09,,150,155
AZE,2012,7.48,4.23,2.88,16.05,17.39,,,7.04,6,142,145
BDI,2012,4.04,0.91,-1.26,16.13,12.55,,,6.19,,2,14
BEL,2012,9.59,6.21,4.41,16.22,18.34,,,7.93,,150,155
BEN,2012,5.72,2.02,-0.09,16.12,15.52,,,9.77,,2,11
BFA,2012,5.90,2.37,-0.01,16.62,14.78,,,9.93,,2,11
BGD,2012,7.35,4.89,3.73,18.86,18.03,,,7.19,,142,34
BGR,2012,7.78,3.96,3.44,15.80,17.62,,,6.57,21,150,151
BHR,2012,6.28,3.43,2.46,14.10,17.19,,,5.77,,142,145
BHS,2012,5.03,2.11,0.54,12.83,14.47,,,2.55,,19,29
BIH,2012,7.36,2.83,2.48,15.16,16.92,,,6.80,,150,39
BLM,2012,3.90,,,,,,,,,19,29
BLR,2012,8.45,4.15,3.50,16.06,17.96,,,6.32,6.3,150,151
BLZ,2012,4.77,0.45,-0.50,12.73,13.08,,,5.10,,19,13
BMU,2012,3.10,1.70,-0.51,11.08,13.00,,,,,19,21
BOL,2012,7.71,3.30,1.87,16.14,16.75,,,13.26,43.44,19,5
BRA,2012,11.31,7.72,6.18,19.13,19.97,,,14.41,9,19,5
BRB,2012,5.39,1.44,-0.06,12.55,14.20,,,,,19,29
BRN,2012,6.45,2.83,1.24,12.91,16.08,,,6.06,,142,35
BTN,2012,3.33,0.60,0.50,13.52,13.61,,,6.19,12,142,34
BVT,2012,,,,,,,,,,0,0
BWA,2012,6.26,2.68,1.17,14.57,15.31,,,11.16,,2,18
CAF,2012,3.23,0.77,-1.78,15.35,12.59,,,12.70,,2,17
CAN,2012,10.84,7.51,6.26,17.36,19.99,,,12.73,,19,21
CCK,2012,,,,,,,,,,0,0
CHE,2012,8.89,6.50,4.06,15.89,17.45,,,7.91,,150,155
CHL,2012,8.76,5.58,4.15,16.67,18.21,,,7.46,,19,5
CHN,2012,12.20,9.02,8.40,21.02,23.03,,,12.43,,142,30
CIV,2012,6.74,3.30,1.55,16.86,15.94,,,,,2,11
CMR,2012,6.11,3.28,1.71,16.89,15.63,,,11.02,,2,17
COD,2012,6.72,3.38,1.99,18.07,14.76,,,13.39,63.6,2,17
COG,2012,6.60,2.62,-0.30,15.27,14.68,,,9.95,,2,17
COK,2012,,,-3.54,,,,,,,9,61
COL,2012,9.15,5.91,3.90,17.66,18.20,,,8.18,32.7,19,5
COM,2012,,-0.60,-3.22,13.51,11.90,,,1.49,,2,14
CPV,2012,3.89,0.56,-1.25,13.12,13.11,,,,,2,11
CRI,2012,7.14,3.81,2.20,15.35,15.87,,,5.93,20.6,19,13
CUB,2012,7.20,,2.67,16.24,17.40,,,7.10,,19,29
CXR,2012,,,,,,,,,,0,0
CYM,2012,4.22,,-0.61,10.96,13.20,,,,,19,29
CYP,2012,7.19,3.13,1.46,13.94,15.75,,,5.74,,142,145
CZE,2012,8.95,5.33,4.10,16.17,18.43,,,8.20,8.6,150,151
DEU,2012,10.68,8.17,6.29,18.20,20.42,,,10.20,,150,155
DJI,2012,3.69,0.30,-1.17,13.66,13.16,,,2.83,,2,14
DMA,2012,1.21,-0.66,-2.41,11.18,11.82,,,,,19,29
DNK,2012,8.06,5.78,3.46,15.54,17.41,,,7.47,,150,154
DOM,2012,7.31,4.10,2.48,16.13,16.94,,,5.05,40.9,19,29
DZA,2012,9.55,5.32,3.76,17.44,18.68,,,6.92,,2,15
ECU,2012,8.62,4.47,2.95,16.55,17.52,,,4.95,27.3,19,5
EGY,2012,10.55,5.57,4.91,18.27,19.20,,,8.29,,2,15
ERI,2012,3.68,1.13,-1.26,15.40,13.40,,,2.89,,2,14
ESH,2012,5.11,,-2.48,,,,,,,2,15
ESP,2012,10.65,7.21,5.49,17.66,19.39,,,9.46,,150,39
EST,2012,7.47,3.12,2.11,14.10,16.68,,,4.16,18.6,150,154
ETH,2012,6.20,3.77,1.65,18.34,15.96,,,11.21,,2,14
FIN,2012,9.79,5.54,4.41,15.50,17.70,,,7.16,,150,154
FJI,2012,2.11,1.35,-0.25,13.68,14.28,,,3.95,,9,54
FLK,2012,,,-4.50,,,,,,,19,5
FRA,2012,10.79,7.90,6.11,18.00,19.62,,,9.99,,150,155
FRO,2012,3.00,,-1.34,10.79,13.29,,,,,150,154
FSM,2012,,-1.12,,11.55,11.87,,,,,9,57
GAB,2012,6.64,2.88,0.52,14.29,15.34,,,10.05,,2,17
GBR,2012,10.52,7.87,5.77,17.97,19.96,,,9.57,,150,154
GEO,2012,6.74,2.76,2.14,15.32,15.81,,,5.43,14.8,142,145
GGY,2012,3.63,,,,,,,,,150,154
GHA,2012,7.38,3.73,2.14,17.06,16.29,,,11.00,24.2,2,11
GIB,2012,1.92,,-1.83,,13.04,,,,,150,39
GIN,2012,4.42,1.73,-0.10,16.27,14.76,,,10.82,55.2,2,11
GLP,2012,6.04,,0.43,,,,,,,19,29
GMB,2012,4.35,-0.09,-1.52,14.41,13.07,,,7.45,,2,11
GNB,2012,2.78,-0.04,-3.07,14.35,12.44,,,8.49,,2,11
GNQ,2012,4.91,2.80,-2.38,13.56,15.58,,,,,2,17
GRC,2012,8.65,5.52,4.06,16.22,18.20,,,7.30,,150,39
GRD,2012,3.67,-0.22,-1.73,11.57,12.51,,,0.99,,19,29
